time_s,lat,lon,alt_m
1771501073.8185308,54.7670209,-1.5680048,-0.001
1771501073.9186745,54.7670209,-1.5680048,-0.001
1771501074.0188432,54.7670209,-1.5680048,-0.001
1771501074.119013,54.7670209,-1.5680048,-0.001
1771501074.219165,54.7670209,-1.5680048,-0.001
1771501074.3193479,54.7670209,-1.5680048,-0.001
1771501074.419499,54.7670209,-1.5680048,-0.001
1771501074.519757,54.7670209,-1.5680048,-0.001
1771501074.6199558,54.7670209,-1.5680048,-0.001
1771501074.7201102,54.7670209,-1.5680048,-0.001
1771501074.820291,54.7670209,-1.5680048,-0.001
1771501074.9204476,54.7670209,-1.5680048,-0.001
1771501075.020598,54.7670209,-1.5680048,-0.001
1771501075.1207528,54.7670209,-1.5680048,-0.001
1771501075.2209356,54.7670209,-1.5680048,-0.001
1771501075.321139,54.7670209,-1.5680048,0.0
1771501075.4212983,54.7670209,-1.5680048,0.0
1771501075.5214522,54.7670209,-1.5680048,0.0
1771501075.6216981,54.7670209,-1.5680048,0.0
1771501075.7218652,54.7670209,-1.5680048,0.0
1771501075.82208,54.7670209,-1.5680048,0.0
1771501075.9222755,54.7670209,-1.5680048,0.0
1771501076.0224528,54.7670209,-1.5680048,0.0
1771501076.1226764,54.7670209,-1.5680048,0.0
1771501076.2229314,54.7670209,-1.5680048,0.0
1771501076.3231752,54.7670209,-1.5680048,0.0
1771501076.4235032,54.7670209,-1.5680048,0.0
1771501076.5237367,54.7670209,-1.5680048,0.0
1771501076.6239963,54.7670209,-1.5680048,0.0
1771501076.7242527,54.7670209,-1.5680048,0.0
1771501076.824542,54.7670209,-1.5680048,0.0
1771501076.9247801,54.7670209,-1.5680048,0.0
1771501077.0250444,54.7670209,-1.5680048,0.0
1771501077.1253335,54.7670209,-1.5680048,0.0
1771501077.2255979,54.7670209,-1.5680048,0.0
1771501077.3258681,54.7670209,-1.5680048,0.0
1771501077.4261818,54.7670209,-1.5680048,0.0
1771501077.5264006,54.7670209,-1.5680048,0.0
1771501077.6266313,54.7670209,-1.5680048,0.0
1771501077.7268798,54.7670209,-1.5680048,0.0
1771501077.8271444,54.7670209,-1.5680048,0.0
1771501077.927407,54.7670209,-1.5680048,0.0
1771501078.0276966,54.7670209,-1.5680048,0.0
1771501078.1279407,54.7670209,-1.5680048,0.0
1771501078.2281935,54.7670209,-1.5680048,0.0
1771501078.3284702,54.7670209,-1.5680048,0.0
1771501078.4287627,54.7670209,-1.5680048,0.0
1771501078.5290017,54.7670209,-1.5680048,0.0
1771501078.629265,54.7670209,-1.5680048,0.0
1771501078.729609,54.7670209,-1.5680048,0.0
1771501078.8299632,54.7670209,-1.5680048,0.0
1771501078.930209,54.7670209,-1.5680048,0.0
1771501079.0304666,54.7670209,-1.5680048,0.0
1771501079.1306756,54.7670209,-1.5680048,0.0
1771501079.2308798,54.7670209,-1.5680048,0.0
1771501079.3311946,54.7670209,-1.5680048,0.0
1771501079.4314835,54.7670209,-1.5680048,0.0
1771501079.531858,54.7670209,-1.5680048,0.0
1771501079.632096,54.7670209,-1.5680048,0.0
1771501079.7323499,54.7670209,-1.5680048,0.0
1771501079.8326848,54.7670209,-1.5680048,0.0
1771501079.9329333,54.7670209,-1.5680048,0.0
1771501080.033171,54.7670209,-1.5680048,0.0
1771501080.1334205,54.7670209,-1.5680048,0.0
1771501080.233682,54.7670209,-1.5680048,0.0
1771501080.333979,54.7670209,-1.5680048,0.0
1771501080.4342313,54.7670209,-1.5680048,0.0
1771501080.534431,54.7670209,-1.5680048,0.0
1771501080.6346877,54.7670209,-1.5680048,0.0
1771501080.7349303,54.7670209,-1.5680048,0.0
1771501080.8353837,54.7670209,-1.5680048,0.0
1771501080.9356298,54.7670209,-1.5680048,0.0
1771501081.0358646,54.7670209,-1.5680048,0.0
1771501081.1370435,54.7670209,-1.5680048,0.0
1771501081.2372925,54.7670209,-1.5680048,0.0
1771501081.3376186,54.7670209,-1.5680048,0.0
1771501081.4379568,54.7670209,-1.5680048,0.0
1771501081.5381796,54.7670209,-1.5680048,0.0
1771501081.6385038,54.7670209,-1.5680048,0.0
1771501081.7387474,54.7670209,-1.5680048,0.0
1771501081.838984,54.7670209,-1.5680048,0.0
1771501081.9392536,54.7670209,-1.5680048,0.0
1771501082.0395148,54.7670209,-1.5680048,0.0
1771501082.1401396,54.7670209,-1.5680048,0.0
1771501082.2403953,54.7670209,-1.5680048,0.0
1771501082.3406208,54.7670209,-1.5680048,0.0
1771501082.440864,54.7670209,-1.5680048,0.0
1771501082.5410876,54.7670209,-1.5680048,0.0
1771501082.6413372,54.7670209,-1.5680048,0.0
1771501082.7415962,54.7670209,-1.5680048,0.0
1771501082.8418467,54.7670209,-1.5680048,0.0
1771501082.942162,54.7670209,-1.5680048,0.0
1771501083.04243,54.7670209,-1.5680048,0.0
1771501083.14265,54.7670209,-1.5680048,0.0
1771501083.2428613,54.7670209,-1.5680048,0.0
1771501083.3431547,54.7670209,-1.5680048,0.0
1771501083.4433918,54.7670209,-1.5680048,0.0
1771501083.543657,54.7670209,-1.5680048,0.0
1771501083.6439133,54.7670209,-1.5680048,0.0
1771501083.7443607,54.7670209,-1.5680048,0.0
1771501083.8446915,54.7670209,-1.5680048,0.0
1771501083.944935,54.7670209,-1.5680048,0.0
1771501084.0452795,54.7670209,-1.5680048,0.0
1771501084.14808,54.7670209,-1.5680048,0.0
1771501084.2483177,54.7670209,-1.5680048,-0.001
1771501084.348536,54.7670209,-1.5680048,-0.001
1771501084.4487958,54.7670209,-1.5680048,-0.001
1771501084.5490296,54.7670209,-1.5680048,-0.001
1771501084.6492872,54.7670209,-1.5680048,-0.001
1771501084.7495327,54.7670209,-1.5680048,-0.001
1771501084.849809,54.7670209,-1.5680048,-0.001
1771501084.9501405,54.7670209,-1.5680048,-0.001
1771501085.0504239,54.7670209,-1.5680048,-0.001
1771501085.1506622,54.7670209,-1.5680048,-0.001
1771501085.2509387,54.7670209,-1.5680048,-0.001
1771501085.351174,54.7670209,-1.5680048,-0.001
1771501085.4514167,54.7670209,-1.5680048,-0.001
1771501085.55168,54.7670209,-1.5680048,-0.001
1771501085.6519377,54.7670209,-1.5680048,-0.001
1771501085.7521842,54.7670209,-1.5680048,-0.001
1771501085.8524277,54.7670209,-1.5680048,-0.001
1771501085.952644,54.7670209,-1.5680048,-0.001
1771501086.0528836,54.7670209,-1.5680048,-0.001
1771501086.1531308,54.7670209,-1.5680048,-0.001
1771501086.2534378,54.7670209,-1.5680048,-0.001
1771501086.3537545,54.7670209,-1.5680048,-0.001
1771501086.4540734,54.7670209,-1.5680048,-0.001
1771501086.5543299,54.7670209,-1.5680048,-0.001
1771501086.6546595,54.7670209,-1.5680048,-0.001
1771501086.7549598,54.7670209,-1.5680048,-0.001
1771501086.855252,54.7670209,-1.5680048,-0.001
1771501086.955485,54.7670209,-1.5680048,-0.001
1771501087.0558403,54.7670209,-1.5680048,0.008
1771501087.156079,54.7670209,-1.5680048,0.008
1771501087.2563212,54.7670209,-1.5680048,0.008
1771501087.3565853,54.7670209,-1.5680048,0.008
1771501087.456904,54.7670209,-1.5680048,0.008
1771501087.5571501,54.7670209,-1.5680048,0.008
1771501087.657387,54.7670209,-1.5680048,0.008
1771501087.7576058,54.7670209,-1.5680048,0.008
1771501087.857831,54.7670209,-1.5680048,0.008
1771501087.9580603,54.7670209,-1.5680048,0.008
1771501088.058347,54.7670209,-1.5680048,0.008
1771501088.158567,54.7670209,-1.5680048,0.008
1771501088.258808,54.7670209,-1.5680048,0.008
1771501088.3590314,54.7670209,-1.5680048,0.008
1771501088.459238,54.7670209,-1.5680048,0.008
1771501088.5594635,54.7670209,-1.5680048,0.008
1771501088.6597805,54.7670209,-1.5680048,0.008
1771501088.7599928,54.7670209,-1.5680048,0.008
1771501088.860442,54.7670209,-1.5680048,0.008
1771501088.960693,54.7670209,-1.5680048,0.008
1771501089.0609374,54.7670209,-1.5680048,0.008
1771501089.161153,54.7670209,-1.5680048,0.008
1771501089.2614338,54.7670209,-1.5680048,0.008
1771501089.3616593,54.7670209,-1.5680048,0.008
1771501089.4619083,54.7670209,-1.5680048,0.008
1771501089.5622325,54.7670209,-1.5680048,0.008
1771501089.6624892,54.7670209,-1.5680048,0.008
1771501089.7627394,54.7670209,-1.5680048,0.008
1771501089.86298,54.7670209,-1.5680048,0.008
1771501089.9633224,54.7670209,-1.5680048,0.008
1771501090.0635636,54.7670209,-1.5680048,0.026
1771501090.1638029,54.7670209,-1.5680048,0.026
1771501090.2641428,54.7670209,-1.5680048,0.085
1771501090.364391,54.7670209,-1.5680048,0.085
1771501090.464662,54.7670209,-1.5680048,0.085
1771501090.564911,54.7670209,-1.5680048,0.219
1771501090.6651585,54.7670209,-1.5680048,0.219
1771501090.765375,54.7670209,-1.5680048,0.466
1771501090.8655927,54.7670209,-1.5680048,0.466
1771501090.965827,54.7670209,-1.5680048,0.466
1771501091.066155,54.767021,-1.5680049,0.725
1771501091.1664834,54.767021,-1.5680049,0.725
1771501091.2667336,54.767021,-1.5680049,1.002
1771501091.3670213,54.767021,-1.5680049,1.002
1771501091.4672801,54.767021,-1.5680049,1.002
1771501091.5675375,54.767021,-1.5680049,1.265
1771501091.6678154,54.767021,-1.5680049,1.265
1771501091.7680721,54.767021,-1.5680049,1.496
1771501091.8682997,54.767021,-1.5680049,1.496
1771501091.9685588,54.767021,-1.5680049,1.496
1771501092.0688665,54.767021,-1.568005,1.687
1771501092.16913,54.767021,-1.568005,1.687
1771501092.2693844,54.767021,-1.568005,1.838
1771501092.3695836,54.767021,-1.568005,1.838
1771501092.4698157,54.767021,-1.568005,1.838
1771501092.5700638,54.767021,-1.568005,1.945
1771501092.6703207,54.767021,-1.568005,1.945
1771501092.7705584,54.7670213,-1.568005,1.995
1771501092.8707569,54.7670213,-1.568005,1.995
1771501092.9710019,54.7670213,-1.568005,1.995
1771501093.0712645,54.7670224,-1.568005,2.0
1771501093.1714504,54.7670224,-1.568005,2.0
1771501093.271603,54.7670249,-1.5680051,1.988
1771501093.3718219,54.7670249,-1.5680051,1.988
1771501093.4719849,54.7670249,-1.5680051,1.988
1771501093.572161,54.7670283,-1.5680051,1.974
1771501093.6723258,54.7670283,-1.5680051,1.974
1771501093.7725024,54.7670321,-1.5680051,1.96
1771501093.8726335,54.7670321,-1.5680051,1.96
1771501093.9727783,54.7670321,-1.5680051,1.96
1771501094.0729544,54.7670362,-1.5680052,1.949
1771501094.1731274,54.7670362,-1.5680052,1.949
1771501094.273264,54.7670405,-1.5680053,1.94
1771501094.3735,54.7670405,-1.5680053,1.94
1771501094.4736564,54.7670405,-1.5680053,1.94
1771501094.5738764,54.7670448,-1.5680053,1.932
1771501094.674053,54.7670448,-1.5680053,1.932
1771501094.7742355,54.7670492,-1.5680053,1.925
1771501094.8744,54.7670492,-1.5680053,1.925
